Babbling,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1,,Balbuceo,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1,,,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1
0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,2%,3%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,12%,13%,14%,15%,16%,17%,18%,19%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,21%,22%,23%,24%,25%,26%,27%,28%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,37%,38%,39%,41%,46%,51%,57%,62%,68%,73%,78%,84%,89%,95%,100%,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.016,0.025,0.034,0.043,0.052,0.061,0.07,0.079,0.088,0.097,0.106,0.115,0.124,0.133,0.142,0.151,0.16,0.169,0.178,0.187,0.196,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.203,0.212,0.221,0.23,0.239,0.248,0.257,0.266,0.275,0.284,0.293,0.302,0.311,0.32,0.329,0.338,0.347,0.356,0.365,0.374,0.383,0.392,0.406,0.46,0.514,0.568,0.622,0.676,0.73,0.784,0.838,0.892,0.946,1
1,0%,4%,6%,8%,10%,10%,10%,10%,10%,11%,13%,15%,17%,19%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,21%,23%,25%,27%,29%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,31%,33%,35%,37%,39%,40%,40%,40%,40%,40%,42%,44%,46%,48%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,51%,53%,55%,58%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,64%,73%,81%,90%,98%,100%,100%,100%,100%,100%,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,0,0.033722222,0.042333333,0.046222222,0.049166667,0.05,0.052,0.054666667,0.058472222,0.061388889,0.063916667,0.066444444,0.069277778,0.073111111,0.076111111,0.077777778,0.079388889,0.081444444,0.084194444,0.085555556,0.086111111,0.086111111,0.091555556,0.098555556,0.105555556,0.112555556,0.119555556,0.126555556,0.134055556,0.142222222,0.150388889,0.160555556,0.171388889,0.181444444,0.189444444,0.196444444,0.203444444,0.210444444,0.217444444,0.224444444,0.232388889,0.241444444,0.250694444,0.259555556,0.263888889,0.263888889,0.263888889,0.264333333,0.2655,0.266666667,0.267833333,0.269,0.269444444,0.270722222,0.274027778,0.276222222,0.277777778,0.278777778,0.279944444,0.282777778,0.286611111,0.290333333,0.293388889,0.295444444,0.297222222,0.297222222,0.299555556,0.306555556,0.313555556,0.320555556,0.329055556,0.339888889,0.354083333,0.365555556,0.376388889,0.384555556,0.391777778,0.398777778,0.405777778,0.413333333,0.421694444,0.431555556,0.441222222,0.450888889,0.458888889,0.465888889,0.472888889,0.482555556,0.498777778,0.546388889,0.595527778,0.643555556,0.692277778,0.741,0.788888889,0.832,0.874,0.916,0.958,1
2,0%,13%,19%,20%,20%,20%,22%,26%,29%,30%,30%,30%,32%,35%,38%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%,42%,46%,49%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,52%,55%,58%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,64%,67%,70%,70%,70%,70%,70%,70%,70%,72%,76%,79%,80%,80%,80%,83%,90%,96%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,0,0.056666667,0.085,0.094666667,0.1,0.1,0.108,0.118666667,0.129333333,0.136666667,0.143666667,0.150666667,0.163,0.180666667,0.193333333,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.202333333,0.205333333,0.208333333,0.211333333,0.214333333,0.217333333,0.223333333,0.233333333,0.243333333,0.261333333,0.282,0.298,0.305,0.308,0.311,0.314,0.317,0.32,0.323,0.326,0.329,0.332,0.333333333,0.333333333,0.333333333,0.336,0.343,0.35,0.357,0.364,0.366666667,0.366666667,0.366666667,0.366666667,0.366666667,0.372666667,0.379666667,0.393333333,0.411,0.428,0.433333333,0.433333333,0.433333333,0.433333333,0.434333333,0.437333333,0.440333333,0.443333333,0.446333333,0.454666667,0.475333333,0.496,0.516666667,0.526666667,0.531,0.534,0.537,0.54,0.543,0.554,0.567666667,0.581333333,0.588333333,0.591333333,0.594333333,0.608,0.634,0.673333333,0.719333333,0.765333333,0.811333333,0.857333333,0.903333333,0.928,0.946,0.964,0.982,1,,,0,0.067444444,0.084666667,0.092444444,0.098333333,0.1,0.104,0.109333333,0.116944444,0.122777778,0.127833333,0.132888889,0.138555556,0.146222222,0.152222222,0.155555556,0.158777778,0.162888889,0.168388889,0.171111111,0.172222222,0.172222222,0.176111111,0.181111111,0.186111111,0.191111111,0.196111111,0.201111111,0.207111111,0.214444444,0.221777778,0.233111111,0.245777778,0.256888889,0.263888889,0.268888889,0.273888889,0.278888889,0.283888889,0.288888889,0.295777778,0.304888889,0.314388889,0.323111111,0.327777778,0.327777778,0.327777778,0.328666667,0.331,0.333333333,0.335666667,0.338,0.338888889,0.341444444,0.348055556,0.352444444,0.355555556,0.357555556,0.359888889,0.365555556,0.373222222,0.380666667,0.386777778,0.390888889,0.394444444,0.394444444,0.396111111,0.401111111,0.406111111,0.411111111,0.419111111,0.431777778,0.451166667,0.465111111,0.477777778,0.485111111,0.490555556,0.495555556,0.500555556,0.506666667,0.514388889,0.525111111,0.535444444,0.545777778,0.552777778,0.557777778,0.562777778,0.573111111,0.591555556,0.632777778,0.677055556,0.719111111,0.762555556,0.806,0.847777778,0.88,0.91,0.94,0.97,1
3,0%,27%,31%,35%,39%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%,43%,47%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,52%,55%,59%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,64%,67%,70%,70%,70%,70%,70%,70%,73%,77%,80%,80%,80%,80%,80%,80%,83%,86%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,94%,98%,100%,100%,100%,100%,100%,100%,,,0,0.148,0.188666667,0.210666667,0.228333333,0.233333333,0.241333333,0.252,0.262666667,0.27,0.277,0.284,0.296333333,0.314,0.326666667,0.333333333,0.343,0.355333333,0.366666667,0.366666667,0.366666667,0.366666667,0.366666667,0.366666667,0.366666667,0.366666667,0.366666667,0.366666667,0.369666667,0.376666667,0.383666667,0.398666667,0.416333333,0.429333333,0.433333333,0.433333333,0.433333333,0.433333333,0.433333333,0.433333333,0.439,0.451333333,0.463666667,0.466666667,0.466666667,0.466666667,0.466666667,0.469333333,0.476333333,0.483333333,0.490333333,0.497333333,0.5,0.5,0.511666667,0.524,0.533333333,0.539333333,0.546333333,0.56,0.577666667,0.594666667,0.610333333,0.622666667,0.633333333,0.633333333,0.633333333,0.633333333,0.633333333,0.633333333,0.642333333,0.66,0.689666667,0.707333333,0.725,0.732,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.741333333,0.752,0.762666667,0.766666667,0.766666667,0.766666667,0.777333333,0.798666667,0.82,0.848,0.877333333,0.917666667,0.958,0.993333333,1,1,1,1,1,,,0,0.101166667,0.127,0.138666667,0.1475,0.15,0.156,0.164,0.175416667,0.184166667,0.19175,0.199333333,0.207833333,0.219333333,0.228333333,0.233333333,0.238166667,0.244333333,0.252583333,0.256666667,0.258333333,0.258333333,0.260666667,0.263666667,0.266666667,0.269666667,0.272666667,0.275666667,0.280166667,0.286666667,0.293166667,0.305666667,0.320166667,0.332333333,0.338333333,0.341333333,0.344333333,0.347333333,0.350333333,0.353333333,0.359166667,0.368333333,0.378083333,0.386666667,0.391666667,0.391666667,0.391666667,0.393,0.3965,0.4,0.4035,0.407,0.408333333,0.412166667,0.422083333,0.428666667,0.433333333,0.436333333,0.439833333,0.448333333,0.459833333,0.471,0.480166667,0.486333333,0.491666667,0.491666667,0.492666667,0.495666667,0.498666667,0.501666667,0.509166667,0.523666667,0.54825,0.564666667,0.579166667,0.585666667,0.589333333,0.592333333,0.595333333,0.6,0.607083333,0.618666667,0.629666667,0.640666667,0.646666667,0.649666667,0.652666667,0.663666667,0.684333333,0.719166667,0.758583333,0.794666667,0.832833333,0.871,0.906666667,0.928,0.946,0.964,0.982,1
4,0%,20%,20%,20%,20%,20%,20%,20%,24%,29%,34%,39%,40%,40%,40%,40%,40%,40%,43%,48%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,51%,56%,60%,60%,60%,60%,60%,60%,60%,60%,60%,65%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,73%,78%,80%,80%,80%,80%,80%,80%,82%,87%,90%,90%,90%,90%,90%,90%,90%,90%,91%,96%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,0,0.2,0.234333333,0.249333333,0.261666667,0.266666667,0.274666667,0.285333333,0.309666667,0.33,0.346333333,0.362666667,0.372,0.382666667,0.393333333,0.4,0.409666667,0.422,0.443666667,0.46,0.466666667,0.466666667,0.466666667,0.466666667,0.466666667,0.466666667,0.466666667,0.466666667,0.466666667,0.466666667,0.466666667,0.474666667,0.485333333,0.496,0.5,0.5,0.5,0.5,0.5,0.5,0.505666667,0.518,0.532666667,0.552,0.566666667,0.566666667,0.566666667,0.566666667,0.566666667,0.566666667,0.566666667,0.566666667,0.566666667,0.582,0.61,0.624,0.633333333,0.633333333,0.633333333,0.64,0.650666667,0.661333333,0.677,0.689333333,0.7,0.7,0.7,0.7,0.7,0.7,0.709,0.732,0.771,0.789333333,0.8,0.8,0.8,0.8,0.8,0.806666667,0.823,0.841333333,0.852,0.862666667,0.866666667,0.866666667,0.866666667,0.877333333,0.898666667,0.923333333,0.953,0.968,0.980333333,0.992666667,1,1,1,1,1,1,,,0,0.134888889,0.169333333,0.184888889,0.196666667,0.2,0.208,0.218666667,0.233888889,0.245555556,0.255666667,0.265777778,0.277111111,0.292444444,0.304444444,0.311111111,0.317555556,0.325777778,0.336777778,0.342222222,0.344444444,0.344444444,0.345222222,0.346222222,0.347222222,0.348222222,0.349222222,0.350222222,0.353222222,0.358888889,0.364555556,0.378222222,0.394555556,0.407777778,0.412777778,0.413777778,0.414777778,0.415777778,0.416777778,0.417777778,0.422555556,0.431777778,0.441777778,0.450222222,0.455555556,0.455555556,0.455555556,0.457333333,0.462,0.466666667,0.471333333,0.476,0.477777778,0.482888889,0.496111111,0.504888889,0.511111111,0.515111111,0.519777778,0.531111111,0.546444444,0.561333333,0.573555556,0.581777778,0.588888889,0.588888889,0.589222222,0.590222222,0.591222222,0.592222222,0.599222222,0.615555556,0.645333333,0.664222222,0.680555556,0.686222222,0.688111111,0.689111111,0.690111111,0.693333333,0.699777778,0.712222222,0.723888889,0.735555556,0.740555556,0.741555556,0.742555556,0.754222222,0.777111111,0.805555556,0.840111111,0.870222222,0.903111111,0.936,0.965555556,0.976,0.982,0.988,0.994,1
5,0%,18%,20%,20%,21%,25%,29%,30%,30%,30%,30%,30%,33%,37%,40%,40%,40%,40%,40%,40%,40%,40%,44%,48%,50%,50%,51%,55%,59%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,61%,65%,69%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,74%,78%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,82%,86%,90%,90%,90%,90%,90%,90%,90%,90%,93%,97%,100%,100%,100%,100%,100%,100%,100%,100%,,,0,0.218,0.237,0.249333333,0.263333333,0.282,0.295666667,0.3,0.313666667,0.33,0.346333333,0.362666667,0.377666667,0.391333333,0.4,0.4,0.409666667,0.422,0.443666667,0.46,0.466666667,0.467333333,0.481,0.494666667,0.5,0.5,0.502333333,0.516,0.529666667,0.533333333,0.533333333,0.533333333,0.533333333,0.533333333,0.533333333,0.533333333,0.533333333,0.533333333,0.533333333,0.533333333,0.539,0.551333333,0.566,0.585333333,0.6,0.6,0.6,0.6,0.603,0.616666667,0.630333333,0.633333333,0.633333333,0.648666667,0.676666667,0.690666667,0.7,0.7,0.7,0.7,0.700333333,0.714,0.738,0.756,0.766666667,0.766666667,0.766666667,0.766666667,0.766666667,0.766666667,0.775666667,0.797333333,0.825666667,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.84,0.863333333,0.887333333,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.903333333,0.93,0.958666667,0.980333333,0.992666667,1,1,1,1,1,1,,,0,0.188666667,0.22,0.236444444,0.251111111,0.260666667,0.270555556,0.279111111,0.295333333,0.31,0.323222222,0.336444444,0.348666667,0.362666667,0.373333333,0.377777778,0.387444444,0.399777778,0.418,0.428888889,0.433333333,0.433555556,0.438111111,0.442666667,0.444444444,0.444444444,0.445222222,0.449777778,0.455333333,0.458888889,0.461222222,0.468888889,0.478333333,0.486222222,0.488888889,0.488888889,0.488888889,0.488888889,0.488888889,0.488888889,0.494555556,0.506888889,0.520777778,0.534666667,0.544444444,0.544444444,0.544444444,0.545333333,0.548666667,0.555555556,0.562444444,0.565777778,0.566666667,0.576888889,0.599444444,0.612888889,0.622222222,0.624222222,0.626555556,0.633333333,0.642888889,0.656666667,0.675111111,0.689333333,0.7,0.7,0.7,0.7,0.7,0.7,0.709,0.729777778,0.762111111,0.776666667,0.786111111,0.788444444,0.788888889,0.788888889,0.788888889,0.793333333,0.806555556,0.823333333,0.834666667,0.841777778,0.844444444,0.844444444,0.844444444,0.851555556,0.865777778,0.882222222,0.910333333,0.934666667,0.959444444,0.981111111,0.997777778,1,1,1,1,1
