Memory and Attention,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1
0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,2%,3%,3%,4%,5%,5%,6%,7%,8%,8%,9%,10%,10%,11%,12%,12%,13%,14%,14%,15%,16%,17%,17%,18%,19%,19%,20%,21%,21%,22%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,24%,25%,25%,26%,27%,27%,28%,29%,30%,30%,31%,32%,34%,35%,37%,38%,39%,41%,42%,44%,45%,47%,50%,53%,57%,60%,64%,67%,71%,74%,78%,81%,85%
1,0%,0%,0%,0%,0%,2%,4%,5%,7%,8%,10%,12%,13%,15%,15%,15%,15%,15%,15%,17%,19%,20%,22%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,25%,26%,28%,29%,31%,31%,31%,31%,31%,31%,31%,31%,31%,31%,31%,31%,31%,31%,31%,31%,31%,31%,31%,31%,31%,31%,31%,31%,31%,31%,31%,31%,31%,32%,33%,35%,37%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,39%,43%,46%,49%,52%,55%,56%,58%,60%,61%,64%,67%,70%,74%,77%
2,2%,5%,7%,10%,12%,15%,15%,15%,15%,15%,15%,15%,17%,19%,22%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,25%,28%,30%,33%,35%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,41%,43%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,47%,49%,52%,54%,54%,54%,54%,56%,59%,61%,62%,62%,62%,62%,62%,62%,63%,66%,68%,69%,69%,69%,72%,79%,87%,92%,92%,92%,93%,95%,98%,100%
3,23%,23%,23%,23%,23%,25%,28%,30%,31%,31%,31%,31%,31%,31%,31%,31%,31%,31%,31%,31%,31%,32%,35%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,41%,43%,46%,46%,46%,46%,46%,46%,46%,46%,46%,49%,52%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,56%,59%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,63%,74%,86%,92%,92%,92%,94%,97%,100%
4,15%,15%,15%,15%,19%,23%,26%,30%,31%,31%,31%,31%,31%,31%,31%,31%,33%,37%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,40%,44%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,50%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,56%,60%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,63%,67%,69%,69%,70%,74%,77%,77%,77%,77%,78%,81%,85%,89%,92%,92%,92%,96%,100%
5,6%,13%,17%,20%,23%,27%,30%,33%,36%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,39%,42%,45%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,49%,52%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,55%,58%,61%,62%,62%,62%,62%,62%,62%,62%,63%,66%,69%,69%,69%,69%,69%,70%,73%,76%,77%,77%,78%,81%,84%,87%,91%,94%,97%,100%
6,17%,27%,31%,31%,31%,31%,31%,31%,31%,32%,35%,38%,38%,38%,40%,43%,46%,46%,46%,48%,51%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,56%,59%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,65%,68%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,72%,75%,77%,77%,77%,82%,89%,94%,97%,100%
7,31%,31%,31%,31%,31%,31%,31%,35%,38%,38%,38%,38%,38%,40%,43%,46%,46%,46%,49%,52%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,58%,61%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,65%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,71%,75%,77%,77%,77%,77%,77%,77%,77%,79%,82%,85%,85%,85%
8,30%,36%,41%,44%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,50%,53%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,56%,60%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,64%,68%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,72%,76%,77%,77%,78%,81%,85%,85%,85%,87%,90%,93%,97%,100%
9,31%,31%,31%,31%,31%,33%,37%,38%,38%,42%,46%,46%,46%,46%,46%,46%,48%,52%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,55%,60%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,66%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,71%,75%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,78%,82%,85%,85%,87%,91%,92%,92%,96%,100%
10,31%,38%,38%,38%,38%,38%,38%,38%,42%,45%,46%,46%,49%,53%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,56%,59%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,66%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,71%,75%,77%,77%,78%,82%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,89%,92%,96%,100%
11,40%,46%,46%,46%,46%,46%,46%,46%,48%,52%,54%,54%,54%,55%,59%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,63%,68%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,70%,75%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,79%,84%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,87%,91%,92%,92%,92%,92%,92%,92%,92%,96%,100%,100%,100%,100%,100%,100%
12,33%,44%,46%,46%,46%,46%,46%,46%,46%,46%,46%,49%,53%,54%,54%,54%,54%,54%,54%,54%,57%,61%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,65%,68%,69%,69%,69%,69%,69%,69%,69%,69%,69%,72%,76%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,81%,84%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,87%,91%,92%,92%,92%,92%,92%,92%,92%,95%,99%,100%,100%,100%,100%,100%,100%,100%
13,35%,39%,47%,54%,58%,62%,62%,62%,62%,62%,62%,62%,62%,64%,68%,69%,69%,69%,69%,69%,69%,69%,69%,73%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,81%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,89%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,95%,99%,100%,100%,100%,100%,100%,100%,100%,100%
14,43%,47%,51%,54%,54%,54%,54%,56%,60%,62%,62%,65%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,70%,74%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,78%,82%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,86%,90%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,93%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
15,53%,60%,64%,68%,69%,69%,69%,69%,70%,73%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,78%,82%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,86%,89%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,93%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
16,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,72%,76%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,77%,81%,84%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,87%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,93%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
17,46%,54%,65%,77%,77%,77%,77%,77%,77%,77%,77%,77%,81%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,88%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,96%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
18,54%,61%,65%,69%,73%,76%,80%,84%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,87%,90%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,95%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
19,66%,69%,69%,69%,69%,69%,69%,71%,75%,77%,77%,80%,84%,85%,85%,85%,85%,85%,85%,85%,86%,90%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,96%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
20,69%,69%,70%,73%,76%,79%,82%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,86%,88%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,95%,98%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
21,65%,68%,72%,78%,85%,85%,85%,85%,85%,85%,85%,85%,86%,89%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,95%,98%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
22,66%,70%,74%,77%,77%,77%,77%,78%,80%,82%,84%,86%,89%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,94%,96%,98%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
23,51%,56%,61%,64%,66%,69%,71%,74%,76%,77%,77%,77%,78%,81%,83%,86%,88%,90%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,94%,96%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
24,58%,61%,65%,69%,71%,73%,74%,76%,77%,77%,77%,77%,78%,80%,82%,83%,85%,85%,85%,85%,85%,87%,89%,90%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,94%,96%,98%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%