Newborn Reflexes and Posture,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1
0,61%,62%,63%,64%,65%,65%,66%,67%,68%,69%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,71%,73%,75%,77%,79%,80%,82%,84%,86%,88%,89%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,91%,92%,93%,94%,95%,96%,97%,98%,98%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
1,62%,64%,66%,68%,71%,73%,75%,77%,79%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,83%,85%,87%,89%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,91%,93%,95%,97%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
2,30%,39%,49%,50%,50%,50%,52%,56%,59%,62%,65%,68%,70%,70%,70%,71%,74%,78%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,82%,85%,88%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,94%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
3,54%,57%,60%,60%,60%,60%,60%,60%,60%,60%,61%,64%,68%,70%,70%,70%,73%,77%,80%,80%,80%,80%,80%,80%,80%,80%,80%,84%,87%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,93%,96%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
4,35%,49%,50%,50%,55%,59%,60%,60%,60%,60%,60%,60%,64%,69%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,72%,77%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,84%,89%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,93%,98%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
5,34%,38%,42%,46%,50%,50%,50%,50%,50%,50%,50%,50%,53%,57%,60%,60%,60%,60%,60%,60%,60%,60%,64%,68%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,74%,78%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,81%,86%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,94%,98%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
6,14%,18%,20%,20%,20%,20%,20%,26%,34%,40%,40%,40%,43%,47%,50%,50%,50%,54%,58%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,62%,66%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,73%,77%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,83%,87%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,94%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
7,20%,20%,23%,28%,32%,36%,40%,40%,40%,40%,40%,43%,47%,50%,50%,50%,50%,50%,57%,66%,70%,70%,70%,70%,70%,70%,70%,73%,78%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,85%,89%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,93%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
8,20%,20%,20%,20%,23%,32%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%,46%,55%,60%,60%,60%,60%,60%,60%,60%,62%,66%,70%,70%,70%,73%,78%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,84%,88%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,92%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
9,25%,31%,36%,40%,40%,40%,40%,43%,49%,50%,50%,50%,50%,50%,50%,50%,52%,57%,60%,60%,60%,60%,64%,70%,75%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,84%,89%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,94%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
10,20%,20%,25%,30%,30%,30%,30%,30%,34%,39%,40%,40%,44%,49%,50%,50%,50%,50%,53%,58%,60%,60%,60%,60%,63%,67%,70%,70%,70%,70%,70%,70%,72%,77%,80%,80%,80%,80%,80%,80%,80%,80%,81%,86%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,94%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
11,22%,30%,30%,30%,30%,40%,50%,50%,50%,50%,54%,60%,60%,60%,60%,60%,60%,64%,70%,70%,70%,70%,70%,70%,70%,71%,77%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,86%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,94%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12,25%,29%,30%,30%,33%,37%,40%,40%,40%,40%,40%,40%,40%,43%,48%,52%,57%,61%,66%,70%,70%,70%,70%,70%,70%,70%,72%,76%,80%,80%,80%,80%,80%,80%,80%,80%,80%,81%,86%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,95%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
13,20%,30%,36%,40%,40%,41%,46%,50%,50%,50%,50%,50%,50%,50%,50%,53%,58%,60%,60%,64%,69%,70%,70%,70%,70%,75%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,82%,88%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,93%,98%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
14,20%,21%,26%,32%,37%,40%,40%,40%,40%,40%,40%,45%,50%,56%,60%,60%,60%,60%,63%,68%,70%,70%,70%,70%,70%,70%,76%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,81%,86%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,92%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
15,20%,20%,24%,28%,33%,37%,42%,46%,50%,50%,50%,54%,59%,63%,68%,70%,70%,70%,70%,70%,70%,70%,70%,70%,73%,77%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,81%,86%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,91%,96%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
16,20%,20%,20%,20%,20%,20%,22%,26%,31%,40%,49%,50%,50%,50%,50%,50%,50%,51%,56%,60%,60%,60%,64%,68%,70%,70%,70%,70%,70%,70%,70%,74%,79%,83%,88%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,95%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
17,20%,20%,30%,40%,45%,50%,60%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,75%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,85%,90%,90%,90%,90%,90%,90%,90%,90%,90%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
18,25%,30%,35%,40%,40%,40%,40%,40%,44%,49%,54%,59%,60%,60%,60%,60%,63%,68%,70%,70%,73%,78%,80%,80%,80%,80%,82%,87%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
19,21%,30%,30%,30%,30%,30%,30%,32%,38%,40%,40%,51%,67%,70%,70%,70%,70%,70%,70%,70%,71%,77%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,81%,86%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
20,24%,28%,31%,35%,39%,40%,40%,41%,48%,56%,62%,66%,69%,73%,77%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,84%,88%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,93%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
21,4%,8%,10%,10%,10%,14%,18%,22%,26%,30%,34%,38%,42%,46%,50%,50%,50%,50%,50%,50%,54%,58%,60%,60%,60%,60%,60%,60%,60%,60%,64%,68%,72%,76%,80%,80%,80%,80%,80%,80%,84%,88%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,92%,96%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
22,20%,20%,20%,20%,20%,20%,20%,23%,29%,34%,39%,45%,50%,56%,61%,66%,72%,77%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,83%,85%,88%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,92%,95%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
23,33%,36%,40%,43%,46%,49%,52%,56%,59%,62%,65%,68%,70%,70%,70%,71%,74%,78%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,83%,86%,89%,90%,90%,90%,92%,95%,98%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
24,32%,35%,37%,40%,44%,49%,54%,58%,63%,68%,73%,78%,80%,80%,80%,80%,80%,80%,80%,80%,80%,83%,85%,88%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,93%,95%,98%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%