Secure Attachment,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1
0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,3%,5%,6%,8%,10%,11%,13%,15%,16%,18%,19%,20%,20%,21%,22%,23%,24%,25%,25%,26%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,28%,29%,31%,33%,34%,36%,38%,39%,41%,43%,44%,46%,47%,49%,51%,52%,54%,56%,57%,59%,61%,62%,64%,65%,67%,69%,70%,72%,74%,75%,77%,79%,80%,82%
1,15%,21%,26%,32%,36%,36%,36%,36%,36%,37%,39%,41%,43%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,46%,48%,50%,52%,54%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,56%,58%,59%,61%,63%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,66%,68%,70%,72%,74%,76%,78%,79%,81%,85%,89%,92%,96%,100%
2,21%,24%,27%,27%,27%,27%,32%,37%,43%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,46%,49%,52%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,58%,61%,64%,64%,64%,64%,64%,64%,64%,66%,69%,72%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,76%,79%,81%,82%,82%,82%,84%,87%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,94%,97%,100%
3,40%,43%,46%,50%,53%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,58%,62%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,65%,68%,72%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,74%,78%,81%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,86%,89%,91%,91%,91%,93%,97%,100%
4,32%,36%,36%,36%,36%,36%,40%,45%,49%,54%,55%,55%,55%,55%,55%,55%,58%,62%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,65%,69%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,76%,81%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,83%,88%,91%,91%,91%,91%,91%,91%,91%,91%,92%,96%,100%,100%,100%,100%,100%,100%,100%
5,31%,35%,38%,42%,46%,50%,53%,55%,55%,55%,59%,63%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,66%,70%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,75%,79%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,84%,87%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,94%,98%,100%,100%,100%
6,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,58%,61%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,68%,72%,73%,73%,73%,73%,73%,76%,80%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,86%,89%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,94%,98%,100%,100%,100%
7,55%,55%,57%,61%,64%,64%,64%,64%,64%,67%,71%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,77%,81%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,85%,89%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,94%,98%,100%,100%,100%,100%,100%
8,68%,71%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,76%,80%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,84%,88%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,92%,96%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
9,55%,55%,60%,64%,64%,66%,71%,73%,73%,73%,73%,73%,73%,73%,73%,73%,74%,79%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,87%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,92%,97%,100%,100%,100%,100%,100%,100%,100%,100%
10,64%,64%,68%,72%,73%,73%,73%,73%,76%,81%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,83%,88%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,92%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
11,64%,65%,70%,73%,73%,77%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,83%,88%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,94%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12,64%,64%,67%,71%,73%,73%,74%,78%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,86%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,92%,96%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
13,64%,73%,73%,73%,73%,74%,79%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,87%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,95%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
14,64%,73%,78%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,85%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,96%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
15,77%,81%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,86%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,94%,98%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
16,73%,73%,73%,73%,73%,73%,74%,78%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,86%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,95%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
17,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,86%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
18,77%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,85%,89%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,92%,96%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
19,82%,82%,87%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
20,82%,82%,82%,82%,82%,84%,88%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,94%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
21,76%,80%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,84%,87%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,93%,96%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
22,82%,82%,82%,82%,82%,82%,82%,83%,86%,88%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,92%,94%,96%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
23,76%,79%,81%,82%,82%,82%,84%,87%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,93%,96%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
24,84%,86%,88%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,93%,95%,97%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%